region,caseNumber,caseNumberFull,consulate,status,submitDate,statusDate,Issued,AP,Ready,Refused,InTransit,Transfer,NVC,potentialAP
AF,233,2013AF233,ACC,Refused,02-Nov-2011,25-Jan-2013,0,0,0,2,0,0,0,0
AF,234,2013AF234,LGS,Issued,04-Nov-2011,20-Mar-2013,1,0,0,0,0,0,0,0
AF,235,2013AF235,LGS,Issued,21-Oct-2011,12-Jul-2013,3,0,0,0,0,0,0,0
AF,236,2013AF236,None,None,None,None,0,0,0,0,0,0,0,0
AF,237,2013AF237,None,None,None,None,0,0,0,0,0,0,0,0
AF,238,2013AF238,LGS,Issued,30-Oct-2011,05-Aug-2013,2,0,0,0,0,0,0,0
AF,239,2013AF239,None,None,None,None,0,0,0,0,0,0,0,0
AF,240,2013AF240,None,None,None,None,0,0,0,0,0,0,0,0
AF,241,2013AF241,None,None,None,None,0,0,0,0,0,0,0,0
AF,242,2013AF242,None,None,None,None,0,0,0,0,0,0,0,0
AF,243,2013AF243,None,None,None,None,0,0,0,0,0,0,0,0
AF,244,2013AF244,None,None,None,None,0,0,0,0,0,0,0,0
AF,245,2013AF245,None,None,None,None,0,0,0,0,0,0,0,0
AF,246,2013AF246,None,None,None,None,0,0,0,0,0,0,0,0
AF,247,2013AF247,ADD,Issued,04-Nov-2011,05-Mar-2013,1,0,0,0,0,0,0,0
AF,248,2013AF248,CRO,Issued,17-Oct-2011,08-Jan-2013,1,0,0,0,0,0,0,0
AF,249,2013AF249,None,None,None,None,0,0,0,0,0,0,0,0
AF,250,2013AF250,None,None,None,None,0,0,0,0,0,0,0,0
AF,251,2013AF251,None,None,None,None,0,0,0,0,0,0,0,0
AF,252,2013AF252,None,None,None,None,0,0,0,0,0,0,0,0
AF,253,2013AF253,ADD,Issued,21-Oct-2011,23-Jul-2013,4,0,0,0,0,0,0,0
AF,254,2013AF254,None,None,None,None,0,0,0,0,0,0,0,0
AF,255,2013AF255,LGS,Refused,27-Oct-2011,02-Apr-2013,0,0,0,2,0,0,0,0
AF,256,2013AF256,None,None,None,None,0,0,0,0,0,0,0,0
AF,257,2013AF257,RID,Ready,10-Oct-2011,19-Mar-2013,0,0,2,0,0,0,0,0
AF,258,2013AF258,None,None,None,None,0,0,0,0,0,0,0,0
AF,259,2013AF259,None,None,None,None,0,0,0,0,0,0,0,0
AF,260,2013AF260,None,None,None,None,0,0,0,0,0,0,0,0
AF,261,2013AF261,None,None,None,None,0,0,0,0,0,0,0,0
AF,262,2013AF262,None,None,None,None,0,0,0,0,0,0,0,0
AF,263,2013AF263,None,None,None,None,0,0,0,0,0,0,0,0
AF,264,2013AF264,None,None,None,None,0,0,0,0,0,0,0,0
AF,265,2013AF265,None,None,None,None,0,0,0,0,0,0,0,0
AF,266,2013AF266,None,None,None,None,0,0,0,0,0,0,0,0
AF,267,2013AF267,LGS,Refused,27-Oct-2011,15-Aug-2013,0,0,0,2,0,0,0,0
AF,268,2013AF268,NRB,Issued,02-Nov-2011,03-Jan-2013,1,0,0,0,0,0,0,0
AF,269,2013AF269,None,None,None,None,0,0,0,0,0,0,0,0
AF,270,2013AF270,None,None,None,None,0,0,0,0,0,0,0,0
AF,271,2013AF271,None,None,None,None,0,0,0,0,0,0,0,0
AF,272,2013AF272,None,None,None,None,0,0,0,0,0,0,0,0
AF,273,2013AF273,None,None,None,None,0,0,0,0,0,0,0,0
AF,274,2013AF274,ADD,Issued,04-Nov-2011,09-Jan-2013,1,0,0,0,0,0,0,0
AF,275,2013AF275,None,None,None,None,0,0,0,0,0,0,0,0
AF,276,2013AF276,LGS,Issued,06-Oct-2011,10-Aug-2013,2,0,0,0,0,0,0,0
AF,277,2013AF277,None,None,None,None,0,0,0,0,0,0,0,0
AF,278,2013AF278,None,None,None,None,0,0,0,0,0,0,0,0
AF,279,2013AF279,None,None,None,None,0,0,0,0,0,0,0,0
AF,280,2013AF280,LGS,Issued,04-Oct-2011,12-Mar-2013,1,0,0,0,0,0,0,0
AF,281,2013AF281,None,None,None,None,0,0,0,0,0,0,0,0
AF,282,2013AF282,None,None,None,None,0,0,0,0,0,0,0,0
AF,283,2013AF283,None,None,None,None,0,0,0,0,0,0,0,0
AF,284,2013AF284,ADD,Issued,31-Oct-2011,22-Feb-2013,1,0,0,0,0,0,0,0
AF,285,2013AF285,None,None,None,None,0,0,0,0,0,0,0,0
AF,286,2013AF286,None,None,None,None,0,0,0,0,0,0,0,0
AF,287,2013AF287,None,None,None,None,0,0,0,0,0,0,0,0
AF,288,2013AF288,LGS,Refused,05-Nov-2011,12-Aug-2013,0,0,1,1,0,0,0,0
AF,289,2013AF289,None,None,None,None,0,0,0,0,0,0,0,0
AF,290,2013AF290,LGS,Issued,20-Oct-2011,16-Jul-2013,1,0,0,0,0,0,0,0
AF,291,2013AF291,LGS,Issued,28-Oct-2011,19-Mar-2013,1,0,0,0,0,0,0,0
AF,292,2013AF292,CRO,Issued,15-Oct-2011,10-Feb-2013,3,0,0,0,0,0,0,0
AF,293,2013AF293,None,None,None,None,0,0,0,0,0,0,0,0
AF,294,2013AF294,None,None,None,None,0,0,0,0,0,0,0,0
AF,295,2013AF295,None,None,None,None,0,0,0,0,0,0,0,0
